iioas_idx,iioas_code,iioas_label,mrio67_idx,mrio67_code,mrio67_label,mapping_type,note
1,S01,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",1,M01,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",direct,""
2,S02,"Pecuária, inclusive o apoio à pecuária",2,M02,"Pecuária, inclusive o apoio à pecuária",direct,""
3,S03,"Produção florestal; pesca e aquicultura",3,M03,"Produção florestal; pesca e aquicultura",direct,""
4,S04,"Extração de carvão mineral e de minerais não-metálicos",4,M04,"Extração de carvão mineral e de minerais não metálicos",direct,""
5,S05,"Extração de petróleo e gás, inclusive as atividades de apoio",5,M05,"Extração de petróleo e gás, inclusive as atividades de apoio",direct,""
6,S06,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",6,M06,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",direct,""
7,S07,"Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos",7,M07,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",direct,""
8,S08,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",8,M08,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",direct,""
9,S09,"Fabricação e refino de açúcar",9,M09,"Fabricação e refino de açúcar",direct,""
10,S10,"Outros produtos alimentares",10,M10,"Outros produtos alimentares",direct,""
11,S11,"Fabricação de bebidas",11,M11,"Fabricação de bebidas",direct,""
12,S12,"Fabricação de produtos do fumo",12,M12,"Fabricação de produtos do fumo",direct,""
13,S13,"Fabricação de produtos têxteis",13,M13,"Fabricação de produtos têxteis",direct,""
14,S14,"Confecção de artefatos do vestuário e acessórios",14,M14,"Confecção de artefatos do vestuário e acessórios",direct,""
15,S15,"Fabricação de calçados e de artefatos de couro",15,M15,"Fabricação de calçados e de artefatos de couro",direct,""
16,S16,"Fabricação de produtos da madeira",16,M16,"Fabricação de produtos da madeira",direct,""
17,S17,"Fabricação de celulose, papel e produtos de papel",17,M17,"Fabricação de celulose, papel e produtos de papel",direct,""
18,S18,"Impressão e reprodução de gravações",18,M18,"Impressão e reprodução de gravações",direct,""
19,S19,"Refino de petróleo e coquerias",19,M19,"Refino de petróleo e coquerias",direct,""
20,S20,"Fabricação de biocombustíveis",20,M20,"Fabricação de biocombustíveis",direct,""
21,S21,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",21,M21,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",direct,""
22,S22,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",22,M22,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",direct,""
23,S23,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",23,M23,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",direct,""
24,S24,"Fabricação de produtos farmoquímicos e farmacêuticos",24,M24,"Fabricação de produtos farmoquímicos e farmacêuticos",direct,""
25,S25,"Fabricação de produtos de borracha e de material plástico",25,M25,"Fabricação de produtos de borracha e de material plástico",direct,""
26,S26,"Fabricação de produtos de minerais não-metálicos",26,M26,"Fabricação de produtos de minerais não metálicos",direct,""
27,S27,"Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",27,M27,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",direct,""
28,S28,"Metalurgia de metais não-ferosos e a fundição de metais",28,M28,"Metalurgia de metais não ferosos e a fundição de metais",direct,""
29,S29,"Fabricação de produtos de metal, exceto máquinas e equipamentos",29,M29,"Fabricação de produtos de metal, exceto máquinas e equipamentos",direct,""
30,S30,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",30,M30,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",direct,""
31,S31,"Fabricação de máquinas e equipamentos elétricos",31,M31,"Fabricação de máquinas e equipamentos elétricos",direct,""
32,S32,"Fabricação de máquinas e equipamentos mecânicos",32,M32,"Fabricação de máquinas e equipamentos mecânicos",direct,""
33,S33,"Fabricação de automóveis, caminhões e ônibus, exceto peças",33,M33,"Fabricação de automóveis, caminhões e ônibus, exceto peças",direct,""
34,S34,"Fabricação de peças e acessórios para veículos automotores",34,M34,"Fabricação de peças e acessórios para veículos automotores",direct,""
35,S35,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",35,M35,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",direct,""
36,S36,"Fabricação de móveis e de produtos de indústrias diversas",36,M36,"Fabricação de móveis e de produtos de indústrias diversas",direct,""
37,S37,"Manutenção, reparação e instalação de máquinas e equipamentos",37,M37,"Manutenção, reparação e instalação de máquinas e equipamentos",direct,""
38,S38,"Energia elétrica, gás natural e outras utilidades",38,M38,"Energia elétrica, gás natural e outras utilidades",direct,""
39,S39,"Água, esgoto e gestão de resíduos",39,M39,"Água, esgoto e gestão de resíduos",direct,""
40,S40,"Construção",40,M40,"Construção",direct,""
41,S41,"Comércio e reparação de veículos automotores e motocicletas",41,M41,"Comércio por atacado e varejo",aggregate,"S41 + S42 IIOAS → M41 MRIO (IIOAS desmembra comércio de veículos do resto)"
42,S42,"Comércio por atacado e a varejo, exceto veículos automotores",41,M41,"Comércio por atacado e varejo",aggregate,"S41 + S42 IIOAS → M41 MRIO (IIOAS desmembra comércio de veículos do resto)"
43,S43,"Transporte terrestre",42,M42,"Transporte terrestre",direct,"Offset -1 por causa da fusão S41+S42→M41"
44,S44,"Transporte aquaviário",43,M43,"Transporte aquaviário",direct,"Offset -1 por causa da fusão S41+S42→M41"
45,S45,"Transporte aéreo",44,M44,"Transporte aéreo",direct,"Offset -1 por causa da fusão S41+S42→M41"
46,S46,"Armazenamento, atividades auxiliares dos transportes e correio",45,M45,"Armazenamento, atividades auxiliares dos transportes e correio",direct,"Offset -1 por causa da fusão S41+S42→M41"
47,S47,"Alojamento",46,M46,"Alojamento",direct,"Offset -1 por causa da fusão S41+S42→M41"
48,S48,"Alimentação",47,M47,"Alimentação",direct,"Offset -1 por causa da fusão S41+S42→M41"
49,S49,"Edição e edição integrada à impressão",48,M48,"Edição e edição integrada à impressão",direct,"Offset -1 por causa da fusão S41+S42→M41"
50,S50,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",49,M49,"Atividades de televisão, rádio, cinema e gravação/edição de som e imagem",direct,"Offset -1 por causa da fusão S41+S42→M41"
51,S51,"Telecomunicações",50,M50,"Telecomunicações",direct,"Offset -1 por causa da fusão S41+S42→M41"
52,S52,"Desenvolvimento de sistemas e outros serviços de informação",51,M51,"Desenvolvimento de sistemas e outros serviços de informação",direct,"Offset -1 por causa da fusão S41+S42→M41"
53,S53,"Intermediação financeira, seguros e previdência complementar",52,M52,"Intermediação financeira, seguros e previdência complementar",direct,"Offset -1 por causa da fusão S41+S42→M41"
54,S54,"Atividades imobiliárias",53,M53,"Atividades imobiliárias",direct,"Offset -1 por causa da fusão S41+S42→M41"
55,S55,"Atividades jurídicas, contábeis, consultoria e sedes de empresas",54,M54,"Atividades jurídicas, contábeis, consultoria e sedes de empresas",direct,"Offset -1 por causa da fusão S41+S42→M41"
56,S56,"Serviços de arquitetura, engenharia, testes/análises técnicas e P&D",55,M55,"Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",direct,"Offset -1 por causa da fusão S41+S42→M41"
57,S57,"Outras atividades profissionais, científicas e técnicas",56,M56,"Outras atividades profissionais, científicas e técnicas",direct,"Offset -1 por causa da fusão S41+S42→M41"
58,S58,"Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual",57,M57,"Aluguéis não imobiliários e gestão de ativos de propriedade intelectual",direct,"Offset -1 por causa da fusão S41+S42→M41"
59,S59,"Outras atividades administrativas e serviços complementares",58,M58,"Outras atividades administrativas e serviços complementares",direct,"Offset -1 por causa da fusão S41+S42→M41"
60,S60,"Atividades de vigilância, segurança e investigação",59,M59,"Atividades de vigilância, segurança e investigação",direct,"Offset -1 por causa da fusão S41+S42→M41"
61,S61,"Administração pública, defesa e seguridade social",60,M60,"Administração pública, defesa e seguridade social",direct,"Offset -1 por causa da fusão S41+S42→M41"
62,S62,"Educação pública",61,M61,"Educação pública",direct,"Offset -1 por causa da fusão S41+S42→M41"
63,S63,"Educação privada",62,M62,"Educação privada",direct,"Offset -1 por causa da fusão S41+S42→M41"
64,S64,"Saúde pública",63,M63,"Saúde pública",direct,"Offset -1 por causa da fusão S41+S42→M41"
65,S65,"Saúde privada",64,M64,"Saúde privada",direct,"Offset -1 por causa da fusão S41+S42→M41"
66,S66,"Atividades artísticas, criativas e de espetáculos",65,M65,"Atividades artísticas, criativas e de espetáculos",direct,"Offset -1 por causa da fusão S41+S42→M41"
67,S67,"Organizações associativas e outros serviços pessoais",66,M66,"Organizações associativas e outros serviços pessoais",direct,"Offset -1 por causa da fusão S41+S42→M41"
68,S68,"Serviços domésticos",67,M67,"Serviços domésticos",direct,"Offset -1 por causa da fusão S41+S42→M41"
