UF,VAB (Bi),Tax (Bi),Carga (%)
AM,119.77740099109869,20.940851608133926,17.48314075514976
PR,503.57833085107035,81.28701485465353,16.141880989452975
PE,195.12239969059186,29.723306168349723,15.23315939916809
SC,373.56454434804897,56.559374893947414,15.140455846165962
SP,2380.60193175344,338.3353573827537,14.212176881397037
MS,131.27310142765924,18.158991817203873,13.832987580636056
CE,173.72512081962765,23.80455869054829,13.702427477522772
GO,249.44680372057275,34.0751096651689,13.660271110685155
RS,533.6982360027788,72.46766771575963,13.578397458930766
MG,797.5517117180076,107.37925971655743,13.46361096577068
SE,46.8497284959432,6.1895294133925205,13.211452044868272
ES,163.2574744163596,21.566254063364358,13.209964285226786
PB,69.20627010083658,9.075910091483248,13.11428874617755
BA,322.7176248070761,42.17129511877972,13.067552521802966
MA,112.82675276366103,13.639162698060224,12.088589243218113
RO,51.77276632346076,6.252135027312164,12.076107713176256
RN,72.37326467396028,8.379441846935839,11.57809017554343
MT,216.65047475950493,24.318882708008065,11.224938572141829
AL,70.10648353065511,7.545578738368622,10.763025555359947
TO,47.24672557140404,5.004426464502549,10.592112795074765
PI,58.15073856772353,5.830530674269554,10.026580603923371
PA,243.70150846295215,21.288934466750614,8.735659701502009
RJ,843.5495361944262,72.90537968700187,8.64269098124407
AP,18.615738980719726,1.6028800841904272,8.610348941025258
RR,16.38901998186167,1.300244349192487,7.933630873789375
AC,19.408074440352078,1.3572717504090088,6.993335452109832
DF,258.0553167879385,17.634044310019906,6.833435764670173
